,Italy,US,Vietnam,France
4/1/2020,110574,227903,218,56362
4/2/2020,115242,260183,233,58404
4/3/2020,119827,292630,237,63588
4/4/2020,124632,324340,240,46483
4/5/2020,128948,353117,241,47299
4/6/2020,132547,385110,245,49934
4/7/2020,135586,415256,249,46400
4/8/2020,139422,446500,251,50242
4/9/2020,143626,482526,255,54003
4/10/2020,147577,516707,257,55538
4/11/2020,152271,545693,258,56972
4/12/2020,156363,571551,262,107712
4/13/2020,159516,598794,265,110836
4/14/2020,162488,627306,266,128272
4/15/2020,165155,653669,267,131476
4/16/2020,168941,683351,268,144035
4/17/2020,172434,716508,268,145896
4/18/2020,175925,743857,268,149683
4/19/2020,178972,768888,268,150752
4/20/2020,181228,799531,268,153197
4/21/2020,183957,825478,268,155821
4/22/2020,187327,855445,268,157603
4/23/2020,189973,887523,268,155881
4/24/2020,192994,919014,270,158653
4/25/2020,195351,949640,270,160295
4/26/2020,197675,975537,270,160907
4/27/2020,199414,1000230,270,164592
4/28/2020,201505,1024834,270,167650
4/29/2020,203591,1051643,270,166193
4/30/2020,205463,1081150,270,167326
5/1/2020,207428,1115972,270,167846
